journal,field,openalex_id,doi,title,publication_date,authors,cited_by_count,abstract
Econometrica,econ,https://openalex.org/W7105838019,https://doi.org/10.3982/ecta936fm,Frontmatter of Econometrica Vol. 93 Iss. 6,2025-01-01,,0,
Econometrica,econ,https://openalex.org/W7105849033,https://doi.org/10.3982/ecta936bm,Backmatter of Econometrica Vol. 93 Iss. 6,2025-01-01,,0,
Econometrica,econ,https://openalex.org/W7105851736,https://doi.org/10.3982/ecta24596,Reply to: Comments on <i>“Presidential Address: Identity Politics”</i>,2025-01-01,Nicola Gennaioli; Guido Tabellini,0,
Econometrica,econ,https://openalex.org/W7105852027,https://doi.org/10.3982/ecta24429,A Comment on: <i>“Presidential Address: Identity Politics” by Nicola Gennaioli and Guido Tabellini</i>,2025-01-01,Ernesto Dal Bó,0,
Journal of Finance,finance,https://openalex.org/W4406319749,https://doi.org/10.1111/jofi.13416,Pricing Poseidon: Extreme Weather Uncertainty and Firm Return Dynamics,2025-01-13,Mathias S. Kruttli; Brigitte Roth Tran; Sumudu W. Watugala,50,"ABSTRACT We empirically analyze firm‐level uncertainty generated from extreme weather events, guided by a theoretical framework. Stock options of firms with establishments in a hurricane's (forecast) landfall region exhibit large implied volatility increases, reflecting significant uncertainty (before) after impact. Volatility risk premium dynamics reveal that investors underestimate such uncertainty. This underreaction diminishes for hurricanes after Sandy, a salient event that struck the U.S. financial center. Despite constituting idiosyncratic shocks, hurricanes affect hit firms' expected stock returns. Textual analysis of calls between firm management, analysts, and investors reveals that discussions about hurricane impacts remain elevated throughout the long‐lasting high‐uncertainty period after landfall."
Journal of Finance,finance,https://openalex.org/W4406710300,https://doi.org/10.1111/jofi.13425,The Allocation of Socially Responsible Capital,2025-01-22,Dan Green; Benjamin Roth,33,"ABSTRACT Portfolio allocation decisions increasingly incorporate social values. We develop a tractable framework to study how competition between investors to own socially valuable assets affects social welfare. Relative to the most common social‐investing strategies, we identify alternative strategies that result in higher impact and higher financial returns. We identify strategies for investors to have impact when impact is difficult to measure. From the firm's perspective, increasing profitability can have greater impact than directly increasing social value. We present new empirical evidence on the social preferences of investors that demonstrates the practical relevance of our theory."
Journal of Finance,finance,https://openalex.org/W4406709227,https://doi.org/10.1111/jofi.13419,AMERICAN FINANCE ASSOCIATION,2025-01-22,,0,
Journal of Finance,finance,https://openalex.org/W4406709239,https://doi.org/10.1111/jofi.13418,ISSUE INFORMATION,2025-01-22,,0,
Journal of Finance,finance,https://openalex.org/W4406778688,https://doi.org/10.1111/jofi.13420,ANNOUNCEMENTS,2025-01-22,,0,The AFA Board of Directors has voted to publish a Board Meeting Summary to increase transparency of AFA governance and decisions made by the Board.Recent Board Meeting
Journal of Finance,finance,https://openalex.org/W4406778794,https://doi.org/10.1111/jofi.v80.1,,2025-01-23,,0,
Journal of Finance,finance,https://openalex.org/W3122608659,https://doi.org/10.1111/jofi.13422,Designing Stress Scenarios,2025-01-24,Cecilia Parlatore; Thomas Philippon,3,"ABSTRACT We study the optimal design of stress scenarios. A principal manages the unknown risk exposures of agents by asking them to report losses under hypothetical scenarios before taking remedial actions. We apply a Kalman filter to solve the learning problem, and we relate the optimal design to the risk environment, the principal's preferences, and available interventions. In a banking context, optimal capital requirements cover losses under an adverse scenario, while targeted interventions depend on covariances among residual exposures and systematic risks. Our calibration reveals that information is particularly valuable for targeted interventions as opposed to broad capital requirements."
Journal of Finance,finance,https://openalex.org/W4406976454,https://doi.org/10.1111/jofi.13423,Regulatory Fragmentation,2025-01-30,Joseph Kalmenovitz; Michelle Lowry; Ekaterina Volkova,31,"ABSTRACT Regulatory fragmentation occurs when multiple federal agencies oversee a single issue. Using the full text of the Federal Register, the government's official daily publication, we provide the first systematic evidence on the extent and costs of regulatory fragmentation. Fragmentation increases the firm's costs while lowering its productivity, profitability, and growth. Moreover, it deters entry into an industry and increases the propensity of small firms to exit. These effects arise from redundancy and, more prominently, from inconsistencies between government agencies. Our results uncover a new source of regulatory burden, and we show that agency costs among regulators contribute to this burden."
Journal of Finance,finance,https://openalex.org/W4407049277,https://doi.org/10.1111/jofi.13427,Feedback Effects and Systematic Risk Exposures,2025-01-30,Snehal Banerjee; Bradyn M. Breon-Drish; Kevin M. Smith,8,"ABSTRACT We model the “feedback effect” of a firm's stock price on investment in projects exposed to a systematic risk factor, like climate risk. The stock price reflects information about both the project's cash flows and its discount rate. A cash‐flow‐maximizing manager treats discount rate fluctuations as “noise,” but a price‐maximizing manager interprets such variation as information about the project's net present value. This difference qualitatively changes how investment behavior varies with the project's risk exposure. Moreover, traditional objectives (e.g., cash flow or price maximization) need not maximize welfare because they do not correctly account for hedging and risk‐sharing benefits of investment."
Journal of Finance,finance,https://openalex.org/W4406976448,https://doi.org/10.1111/jofi.13426,Wealth and Insurance Choices: Evidence from U.S. Households,2025-01-30,Michael Gropper; Camelia M. Kuhnen,5,"ABSTRACT Using administrative data for 63,000 individuals across 2,500,000 person‐month observations, we find that wealthier individuals have better life insurance coverage, controlling for the value of the asset insured, namely, the consumption needs of dependents. This positive wealth‐insurance correlation, which is surprising given the prevailing view that wealth substitutes for insurance, persists after allowing for wealth‐related differences in risk or bequest preferences, pricing, background risk, education, employment, or liquidity constraints. Our findings call for further investigation of this wealth‐coverage correlation but support theories emphasizing the consumption‐smoothing role of insurance across not only states of the world, but also time."
Journal of Finance,finance,https://openalex.org/W4406976878,https://doi.org/10.1111/jofi.13421,Crisis Interventions in Corporate Insolvency,2025-01-30,Samuel Antill; Christopher Clayton,2,"ABSTRACT We model the optimal resolution of insolvent firms in general equilibrium. Collateral‐constrained banks lend to (i) solvent firms to finance investments and (ii) distressed firms to avoid liquidation. Liquidations create negative fire‐sale externalities. Liquidations also relieve bank balance–sheet congestion, enabling new firm loans that generate positive collateral externalities by lowering bank borrowing rates. Socially optimal interventions encourage liquidation when firms have high operating losses, high leverage, or low productivity. Surprisingly, larger fire sales promote interventions encouraging more liquidations. We study synergies between insolvency interventions and macroprudential regulation, bailouts, deferred loss recognition, and debt subordination. Our model elucidates historical crisis interventions."
Journal of Finance,finance,https://openalex.org/W4406976666,https://doi.org/10.1111/jofi.13424,Worker Runs,2025-01-30,Florian Hoffmann; Vladimir Vladimirov,4,"ABSTRACT The voluntary departure of hard‐to‐replace skilled workers worsens firm prospects, which can lead to additional departures. We develop a model in which firms design compensation to limit the risk of such “worker runs.” To achieve cost‐efficient retention, firms combine fixed wages with dilutable compensation—such as vesting equity or bonus pools—which pays remaining workers more when others leave but gets diluted otherwise. Compensating (identical) workers with differently structured compensation, that is, with a different mix of output‐dependent and output‐independent pay, can further mitigate the risk of worker runs by ensuring a critical retention level in a cost‐efficient way."
Journal of Finance,finance,https://openalex.org/W4407382323,https://doi.org/10.1111/jofi.13406,Repo over the Financial Crisis,2025-02-10,Adam Copeland; Antoine Martin,4,"ABSTRACT This paper uses new data to provide a comprehensive view of repo activity during the 2007 global financial crisis. We show that activity declined much more in the bilateral segment of the market than in the tri‐party segment. Surprisingly, a large share of the decline in activity is driven by repos backed by Treasury securities. Further, a disproportionate share of the decline in repo activity is connected to securities dealer's market‐making activity. In particular, the evidence suggests that at least part of the decline is not driven by clients pulling away from securities dealers because of counterparty credit concerns."
Journal of Finance,finance,https://openalex.org/W4407365124,https://doi.org/10.1111/jofi.13428,The Impact of Minority Representation at Mortgage Lenders,2025-02-11,W. Scott Frame; Ruidi Huang; Erica Xuewei Jiang; Yeonjoon Lee; Will Shuo Liu; Erik J. Mayer; Adi Sunderam,10,"ABSTRACT We study links between the labor market for loan officers and access to mortgage credit. Using novel data matching mortgage applications to loan officers, we find that minorities are underrepresented among loan officers. Minority borrowers are less likely to complete mortgage applications, have completed applications approved, and to ultimately take up a loan. These disparities are reduced when minority borrowers work with minority loan officers. These pairings also lead to lower default rates, suggesting minority loan officers have an informational advantage with minority borrowers. Our results suggest minority underrepresentation among loan officers reduces minority borrowers’ access to credit."
Journal of Finance,finance,https://openalex.org/W4407666728,https://doi.org/10.1111/jofi.13429,Uncovering the Hidden Effort Problem,2025-02-17,Azi Ben-Rephael; Bruce Carlin; Zhi Da; Ryan D. Israelsen,7,"ABSTRACT We analyze minute‐by‐minute Bloomberg online status and study how the effort provision of executives in public corporations affects firm value. While executives spend most of their time doing other activities, patterns of Bloomberg usage allow us to characterize their work habits as measures of effort provision. We document a positive effect of effort on unexpected earnings and cumulative abnormal returns following earnings announcements, and a reduction in credit default swap spreads. This is robust to using exogenous weather patterns as an instrument. Long‐short, calendar‐time effort portfolios earn significant average daily returns. Finally, we revisit important agency issues from the literature."
Journal of Finance,finance,https://openalex.org/W4408307616,https://doi.org/10.1111/jofi.13430,In Too Deep: The Effect of Sunk Costs on Corporate Investment,2025-03-04,Marius Guenzel,4,"ABSTRACT Sunk costs are unrecoverable costs that should not affect decision making. I provide evidence that firms systematically fail to ignore sunk costs and that this leads to significant investment distortions. In fixed‐exchange‐ratio stock mergers, aggregate market fluctuations after parties enter into a binding merger agreement induce plausibly exogenous variation in the final acquisition cost. These quasi‐random cost shocks strongly predict firms' commitment to an acquired business following deal completion, with an interquartile cost increase reducing subsequent divestiture rates by 8% to 9%. Consistent with an intrapersonal sunk cost channel, distortions are concentrated in firm‐years in which the acquiring CEO is still in office."
Journal of Finance,finance,https://openalex.org/W3122296428,https://doi.org/10.1111/jofi.13431,How Credit Cycles across a Financial Crisis,2025-03-04,Arvind Krishnamurthy; Tyler Muir,0,"ABSTRACT We analyze the behavior of credit and output in financial crises using data on credit spreads and credit growth. Crises are marked by a sharp rise in credit spreads, signaling sudden shifts in expectations. The severity of a crisis can be predicted by the extent of credit losses (spread increases) and financial sector fragility (precrisis credit growth). This interaction is a key feature of crises. Postcrisis recessions are typically severe and prolonged. Notably, precrisis spreads tend to drop to low levels while credit growth accelerates, indicating that credit supply expansions often precede crises. The 2008 crisis aligns with these patterns."
Journal of Finance,finance,https://openalex.org/W3122058518,https://doi.org/10.1111/jofi.13436,"Banks, Low Interest Rates, and Monetary Policy Transmission",2025-03-09,Olivier Wang,11,"ABSTRACT I study how the secular decline in interest rates affects banks' intermediation spreads and credit supply. Following a permanent decrease in rates, bank lending may rise initially but contracts in the long run. As lower rates compress deposit spreads even well above the zero lower bound, banks' retained earnings, equity, and lending fall until loan spreads have risen enough to offset the reduction in deposit spreads. A higher inflation target can support bank lending at the cost of higher liquidity premia. I find support for the model's predictions in U.S. aggregate and bank‐level data."
Journal of Finance,finance,https://openalex.org/W4408309652,https://doi.org/10.1111/jofi.13437,Intrahousehold Disagreement about Macroeconomic Expectations,2025-03-09,Da Ke,3,"ABSTRACT This paper highlights the simple fact that households typically consist of multiple members who may hold divergent views, a fact that existing approaches to measuring and modeling household macroeconomic expectations largely abstract from. Using unique data on the macroeconomic expectations of both spouses, I document substantial intrahousehold disagreement about inflation, economic recessions, and stock market returns. I further show that household asset allocation decisions are shaped by disagreement between spouses about future stock returns, and a preregistered randomized survey experiment confirms the causal impact of such disagreement on portfolio choice."
Journal of Finance,finance,https://openalex.org/W4408379414,https://doi.org/10.1111/jofi.13439,"Excess Capacity, Marginal <i>q</i>, and Corporate Investment",2025-03-11,Gustavo Grullon; David L. Ikenberry,2,"ABSTRACT Theory posits that when managers anticipate excess capacity, average q becomes a biased estimator of marginal q as the potential for underutilizing new capital reduces the marginal benefit of investing. After correcting for this source of measurement error, the explanatory power of Tobin's q substantially improves in time‐series and cross‐sectional regressions as well as in out‐of‐sample tests. These findings, together with a secular erosion in capacity utilization, help explain why corporate investment rates have been declining for decades despite average q increasing significantly. Our analysis indicates that economic rigidities have contributed to the persistent erosion in capacity utilization."
Journal of Finance,finance,https://openalex.org/W4408537574,https://doi.org/10.1111/jofi.13438,Creating Controversy in Proxy Voting Advice,2025-03-16,Andrey Malenko; Nadya Malenko; Chester S. Spatt,1,"ABSTRACT We analyze how a profit‐maximizing proxy advisor designs vote recommendations and research reports. The advisor benefits from producing informative, unbiased reports, but only partially informative recommendations, biased against the a priori likely alternative. Such recommendations induce close votes, increasing controversy and thereby the relevance and value of proxy advice. Our results suggest shifting from an exclusive emphasis on recommendations, highlighting the importance of both reports and recommendations in proxy advisors' information provision. They rationalize the one‐size‐fits‐all approach and help reinterpret empirical patterns of voting behavior, suggesting that proxy advisors' recommendations may not be a suitable benchmark for evaluating shareholders' votes."
Journal of Finance,finance,https://openalex.org/W4408553964,https://doi.org/10.1111/jofi.13432,Collusion in Brokered Markets,2025-03-18,John William Hatfield; Scott Duke Kominers; Richard Lowery,3,"ABSTRACT High commissions in the U.S. residential real estate agency market pose a puzzle for economic theory because brokerage is not a concentrated industry. We model brokered markets as a game in which agents post prices for customers and then choose which other agents to work with. We show that there exists an equilibrium in which each agent conditions working with other agents on those agents' posted prices. Prices can therefore be meaningfully higher than the competitive level (for a fixed discount factor), regardless of the number of agents. Thus, brokered markets can remain uncompetitive even with low concentration and easy entry."
Journal of Finance,finance,https://openalex.org/W4408576447,https://doi.org/10.1111/jofi.13441,ISSUE INFORMATION,2025-03-18,,0,
Journal of Finance,finance,https://openalex.org/W4408576509,https://doi.org/10.1111/jofi.13435,Report of the Editor of <i>The Journal of Finance</i> for the Year 2024,2025-03-18,ANTOINETTE SCHOAR,0,
Journal of Finance,finance,https://openalex.org/W4408576516,https://doi.org/10.1111/jofi.13433,Report of the EST and of the 2025 Annual Membership Meeting,2025-03-18,,0,
Journal of Finance,finance,https://openalex.org/W4408576529,https://doi.org/10.1111/jofi.13442,AMERICAN FINANCE ASSOCIATION,2025-03-18,,0,
Journal of Finance,finance,https://openalex.org/W4408576656,https://doi.org/10.1111/jofi.v80.2,,2025-03-18,,0,
Journal of Finance,finance,https://openalex.org/W4408576671,https://doi.org/10.1111/jofi.13434,BRATTLE GROUP AND DIMENSIONAL FUND ADVISORS PRIZES FOR 2024,2025-03-18,,0,
Journal of Finance,finance,https://openalex.org/W4408576827,https://doi.org/10.1111/jofi.13443,ANNOUNCEMENTS,2025-03-18,,0,
Journal of Finance,finance,https://openalex.org/W3125221960,https://doi.org/10.1111/jofi.13447,"In the Red: Overdrafts, Payday Lending, and the Underbanked",2025-03-31,Marco Di Maggio; Angela Ma; Emily Williams,1,"ABSTRACT The reordering of transactions from “high‐to‐low” is a controversial bank practice thought to maximize fees paid by low‐income customers on overdrawn accounts. We exploit a series of class‐action lawsuits that mandated that some banks cease the practice. Using alternative credit bureau data, we find that after banks cease high‐to‐low reordering, low‐income individuals reduce payday borrowing, increase consumption, realize long‐term improvements in financial health, and gain access to lower‐cost loans in the traditional financial system. These findings suggest that aggressive bank practices can create demand for alternative financial services and highlight an important link between the traditional and alternative financial systems."
Journal of Finance,finance,https://openalex.org/W4409128888,https://doi.org/10.1111/jofi.13451,Venture Capital and Startup Agglomeration,2025-04-01,Jun Chen; Michael Ewens,7,"ABSTRACT This paper examines venture capital's (VC) role in the geographic clustering of high‐growth startups. We exploit a rule change that disproportionately impacted U.S. regions that historically lacked VC financing via a restriction of banks to invest in the asset class. A one‐standard‐deviation increase in VCs' exposure to the rule led to a 20% decline in fund size and a 10% decrease in the likelihood of raising a follow‐on fund. Startups were not wholly cushioned: financing and valuations declined. Startups also moved out of impacted states after the rule change, likely exacerbating existing geographic disparity in entrepreneurship."
Journal of Finance,finance,https://openalex.org/W4409276943,https://doi.org/10.1111/jofi.13440,Social Security and Trends in Wealth Inequality,2025-04-07,Sylvain Catherine; Max Miller; Natasha Sarin,7,ABSTRACT Recent influential work finds large increases in inequality in the United States based on measures of wealth concentration that notably exclude the value of social insurance programs. This paper shows that top wealth shares have not changed much over the last three decades when Social Security is properly accounted for. This is because Social Security wealth increased substantially from $7.2 trillion in 1989 to $40.6 trillion in 2019 and now represents nearly 50% of the wealth of the bottom 90% of the wealth distribution. This finding is robust to potential changes to taxes and benefits in response to system financing concerns.
Journal of Finance,finance,https://openalex.org/W4409211785,https://doi.org/10.1111/jofi.13446,Auctions versus Negotiations: The Role of the Payment Structure,2025-04-07,Florian Hoffmann; Vladimir Vladimirov,2,"ABSTRACT We investigate a seller's strategic choice between optimally structured negotiations with fewer bidders and an auction with more competing bidders when payments can have a contingent component, as is common in mergers and acquisitions (M&amp;A), patent licensing, and employee compensation. The key factor favoring negotiations is that it allows the seller to set her preferred payment structure—that is, the revenue‐maximizing mix of cash and contingent pay; reserve prices are of secondary importance. Negotiations are more likely to dominate if synergies increase in bidders' productivity types (as with acquirer‐target complementarities in M&amp;A). Higher dispersion and magnitude of bidders' private valuations also favor negotiations."
Journal of Finance,finance,https://openalex.org/W4409277138,https://doi.org/10.1111/jofi.13450,Steven N. Kaplan,2025-04-07,Steven Kaplan; In Brooklyn; Alan Auerbach; Alan Blinder; Bob Shiller; Doug Bernheim; Brad Delong; Abhijit Banerjee; Tyler Cowen; Mathias Dewatripont; Allen Krueger,0,"Steve has made academic contributions to the study and understanding of private equity (PE), LBOs, venture capital (VC), corporate finance, corporate governance, and top executive talent.That work has also influenced industry/practitioners.Nineteen of his papers have accumulated more than 1,000 citations in Google Scholar including at least one in each of the five decades since the 1980s.Kaplan's work on PE began with his doctoral dissertation on LBOs.LBOs emerged"
Journal of Finance,finance,https://openalex.org/W4409344392,https://doi.org/10.1111/jofi.13444,How Much Does Racial Bias Affect Mortgage Lending? Evidence from Human and Algorithmic Credit Decisions,2025-04-09,Neil Bhutta; Aurel Hizmo; Daniel Ringo,20,"ABSTRACT We assess racial discrimination in mortgage approvals using confidential data on mortgage applications. Minority applicants tend to have lower credit scores and higher leverage, and are less likely to receive algorithmic approval from race‐blind automated underwriting systems (AUS). Observable applicant‐risk factors explain most of the racial disparities in lender denials. Further, exploiting the AUS data, we show there are risk factors we do not observe, and these factors at least partially explain the residual 1 to 2 percentage point denial gaps. We conclude that differential treatment plays a more limited role in generating denial disparities than previous research suggests."
Journal of Finance,finance,https://openalex.org/W4409344072,https://doi.org/10.1111/jofi.13448,Are CEOs Rewarded for Luck? Evidence from Corporate Tax Windfalls,2025-04-09,Martina Andreani; Atif Ellahie; Lakshmanan Shivakumar,5,"ABSTRACT Focusing on the one‐off tax gains and losses (i.e., windfalls) associated with the 2017 Tax Cuts and Jobs Act, we reexamine whether CEOs are rewarded for luck. We find that weakly monitored CEOs are compensated for the windfall tax gains but not penalized for the corresponding tax losses. No such pattern is observed for CEOs facing greater pay scrutiny. The pay for windfalls cannot be explained as rewards for CEOs’ efforts, talents, political activities, or as firms sharing their tax gains with all executives. The results are more consistent with rent extraction by CEOs facing weak pay scrutiny."
Journal of Finance,finance,https://openalex.org/W2972744940,https://doi.org/10.1111/jofi.13445,Conflicting Priorities: A Theory of Covenants and Collateral,2025-04-09,Jason Roderick Donaldson; Denis Gromb; Giorgia Piacentino,18,"ABSTRACT We develop a theory of secured debt, unsecured debt, and debt with anti‐dilution covenants. We assume that, as in practice, covenants convey the right to accelerate if violated, but the new secured debt retains its priority even if issued in violation of covenants. We find that such covenants are nonetheless useful: They provide state‐contingent financing flexibility, balancing over‐ and underinvestment incentives. The optimal debt structure is multilayered, combining secured and unsecured debt with and without covenants. Our results are consistent with observations about debt structure, covenant violations, and waivers. They speak to a policy debate about debt priority."
Journal of Finance,finance,https://openalex.org/W4409396515,https://doi.org/10.1111/jofi.13453,Raising Capital from Investor Syndicates with Strategic Communication,2025-04-10,Dan Luo,2,"ABSTRACT An entrepreneur makes offers to multiple investors to fund a project that requires a minimum investment. Concerned about other investors' decisions, each investor strategically communicates information about the project to others. When investors have conflicts of interest, those with contractually stronger incentives to invest attempt to persuade others to invest. Depending on the project's ex ante quality, the entrepreneur may promise investors different returns to create conflicts of interest and induce persuasion, or may promise investors an identical return to align their interests and induce truthful communication. The paper illustrates a new motivation for syndication and hierarchy within syndicates."
Journal of Finance,finance,https://openalex.org/W4409560326,https://doi.org/10.1111/jofi.13452,Is the United States a Lucky Survivor? A Hierarchical Bayesian Approach,2025-04-16,Jules van Binsbergen; Sophia V. Hua; JONAS PEETERS; Jessica A. Wachter,2,"ABSTRACT Using international data, we quantify the magnitude of survivorship bias in U.S. equity market performance, finding that it explains about one‐third of the equity risk premium in the past century. We model the subjective crash belief of an investor who infers the crash risk in the United States by cross‐learning from other countries. The U.S. crash probability shows a persistent and widening divergence from the implied global average. We attribute the upward bias in the measured equity premium to crashes that did not occur in‐sample and to shocks to valuations resulting from learning about the probability."
Journal of Finance,finance,https://openalex.org/W4409752777,https://doi.org/10.1111/jofi.13454,Dynamic Banking and the Value of Deposits,2025-04-23,Patrick Bolton; Ye Li; Neng Wang; Jinqiang Yang,9,"ABSTRACT We propose a theory of banking in which banks cannot perfectly control deposit flows. Facing uninsurable loan and deposit shocks, banks dynamically manage lending, wholesale funding, deposits, and equity. Deposits create value by lowering funding costs. However, when the bank is undercapitalized and at risk of breaching leverage requirements, the marginal value of deposits can turn negative as deposit inflows, by raising leverage, increase the likelihood of costly equity issuance. Banks' inability to fully control leverage distinguishes them from nondepository intermediaries. Our model suggests a reevaluation of leverage regulations and offers new perspectives on banking in a low‐interest‐rate environment."
Journal of Finance,finance,https://openalex.org/W4409831199,https://doi.org/10.1111/jofi.13455,Women in Charge: Evidence from Hospitals,2025-04-26,Katharina Lewellen,4,"ABSTRACT The paper examines the decision‐making, compensation, and turnover of female CEOs in U.S. hospitals. Contrary to the literature on lower‐ranked executives and directors in public firms, there is no evidence that gender differences in preferences for risk or altruism affect decision‐making of hospital CEOs: corporate policies do not shift when women take (or leave) office, and male and female CEOs respond similarly to a major financial shock. However, female CEOs earn lower salaries, face flatter pay‐for‐performance incentives, and exhibit greater turnover after poor performance. Hospital boards behave as though they perceive female CEOs as less productive."
Journal of Finance,finance,https://openalex.org/W4410381356,https://doi.org/10.1111/jofi.13449,Would Order‐By‐Order Auctions Be Competitive?,2025-05-13,Thomas Ernst; Chester S. Spatt; Jian Sun,1,"ABSTRACT We model two methods of executing segregated retail orders: brokers' routing, whereby brokers allocate orders using the market maker's overall performance, and order‐by‐order auctions, where market makers bid on individual orders, a recent U.S. Securities and Exchange Commission proposal. Order‐by‐order auctions improve allocative efficiency, but face a winner's curse reducing retail investor welfare, particularly when liquidity is limited. Additional market participants competing for retail orders fail to improve total efficiency and investor welfare when entrants possess information superior to incumbent wholesalers. Our results hold when new entrants are less informed or the information structure differs. We also examine the cross‐subsidization of brokers' routing."
Journal of Finance,finance,https://openalex.org/W4410381113,https://doi.org/10.1111/jofi.13456,ISSUE INFORMATION,2025-05-13,Antoinette Schoar; Leonid Kogan; Jonathan Lewellen; Thomas Philippon; Manuel Adelino; Kenneth Ahern; Kerry Back; Alon Brav; Mikhail Chernov; James Choi; Anna Cieslak; Vicente Cuat; Gregory Duffee; Thierry Foucault; Carola Frydman; Mariassunta Giannetti; Vincent Glode; Francisco Gomes; Brett Green; Samuel Hartzmark; Terry Hendershott; Victoria Ivashina; Dirk Jenter; Christopher Jones; Jonathan Karpoff; Benjamin Keys; Lars-Alexander Kuehn; Dong Lou; Igor Makarov; Semyon Malamud; Alan Moreira; Tyler Muir; David Musto; Taylor Nadauld; Christian Opp; Jun Pan; Stavros Panageas; Giorgia Piacentino; Amiyatosh Purnanandam; Joshua Rauh; David Robinson; Alexi Savov; Lukas Schmid; Kelly Shue; David Sraer; Margarita Tsoutsoura; Jules Van Binsbergen; Andrea Vedolin; Adrien Verdelhan; Kathleen Hanley; ; ; ; ; ; ; ; ; ; ; ; ,0,
Journal of Finance,finance,https://openalex.org/W4410381296,https://doi.org/10.1111/jofi.13460,AMERICAN FINANCE ASSOCIATION,2025-05-13,William John; Scott Hatfield,0,
Journal of Finance,finance,https://openalex.org/W4410381484,https://doi.org/10.1111/jofi.13459,ANNOUNCEMENTS,2025-05-13,,0,
Journal of Finance,finance,https://openalex.org/W4410381493,https://doi.org/10.1111/jofi.v80.3,,2025-05-14,,0,
Journal of Finance,finance,https://openalex.org/W3033309119,https://doi.org/10.1111/jofi.13464,Interlocking Directorates and Competition in Banking,2025-05-27,Guglielmo Barone; Fabiano Schivardi; Enrico Sette,12,"ABSTRACT We study the effects on corporate loan rates of an unexpected change in the Italian legislation that forbade interlocking directorates between banks. Exploiting multiple firm‐bank relationships to fully account for all unobserved heterogeneity, we find that prohibiting interlocks decreased the interest rates of previously interlocked banks by 14 basis points relative to other banks. The effect is stronger for high‐quality firms and for loans extended by interlocked banks with a large joint market share. Interest rates on loans from previously interlocked banks become more dispersed. Finally, firms borrowing more from previously interlocked banks expand investment, employment, and sales."
Journal of Finance,finance,https://openalex.org/W4410830326,https://doi.org/10.1111/jofi.13465,The Value of Bank Lending,2025-05-28,Thomas Flanagan,1,"ABSTRACT Using a novel data set of realized syndicated loan cash flows and a risk‐adjustment methodology adapted from the private equity literature, I provide a measure of risk‐adjusted returns for bank loan cash flows. Banks, on average, generate 180 basis points in gross risk‐adjusted returns and add $75 million of value annually to their loan portfolios. Banks earn higher returns when they lend to financially constrained borrowers, and the risk‐adjusted performance of bank loan portfolios exhibits persistence. However, banks require higher risk‐adjusted returns when facing their own financing frictions, and shareholders earn nearly zero net risk‐adjusted returns once bank staff are compensated for their lending effort. Overall, these findings suggest that banks provide valuable services to mitigate borrowers' financing frictions, and the present value of loan cash flows pays for the costs of providing these services."
Journal of Finance,finance,https://openalex.org/W4410831677,https://doi.org/10.1111/jofi.13463,The Term Structure of Interest Rates in a Heterogeneous Monetary Union,2025-05-28,James Costain; Galo Nuño; Carlos Thomas,0,"ABSTRACT We build an arbitrage‐based model of the yield curves in a heterogeneous monetary union with sovereign default risk, which accounts for the asymmetric shifts in euro‐area yields during the Covid‐19 pandemic. We derive an affine term structure solution, and decompose yields into expectations, term premium, expected default loss, and credit risk premium components. In an extension, we endogenize the peripheral default probability, showing that it decreases with central bank bond holdings. Calibrating the model to Germany and Italy, we show that both the level and the shifts in the sovereign spread are mainly attributable to the credit risk premium."
Journal of Finance,finance,https://openalex.org/W3121175415,https://doi.org/10.1111/jofi.13462,What Is the Cost of Privatization for Workers?,2025-05-30,Martin Olsson; Joacim Tå̊g,6,"ABSTRACT Privatization of state‐owned enterprises is on the agenda across the globe. Using Swedish data covering two decades, we show that productivity gains and headcount reductions are associated with economic costs for incumbent workers. Workers experience income losses and higher unemployment, but half of the losses are covered by the social safety net. We also find small positive effects on entrepreneurship and cash holdings but no meaningful effects on other labor market, family, health, or household finance outcomes. Productivity improves when the CEO is replaced, and the gains outweigh workers' income declines by a factor of between two and six."
Journal of Finance,finance,https://openalex.org/W4410874583,https://doi.org/10.1111/jofi.13461,Regulating Over‐the‐Counter Markets,2025-05-30,Tomy Lee; Chaojun Wang,0,"ABSTRACT Over‐the‐counter (OTC) trading thrives despite competition from exchanges. We let OTC dealers cream skim from exchanges in an otherwise standard Glosten and Milgrom framework. Restricting the dealer's ability to cream skim induces “cheap substitution”: some traders exit while others with larger gains from trade enter. Cheap substitution implies trading costs, trade volumes, and market shares are poor policy indicators. In a benchmark case, restricting the dealer raises welfare only if trading cost increases, volume falls, and OTC market share is high. By contrast, the restriction improves welfare when adverse selection risk is low. A simple procedure implements the optimal Pigouvian tax."
Journal of Finance,finance,https://openalex.org/W4411846392,https://doi.org/10.1111/jofi.v80.4,,2025-07-01,,0,
Journal of Finance,finance,https://openalex.org/W4411846409,https://doi.org/10.1111/jofi.13458,ANNOUNCEMENTS,2025-07-01,,0,
